"","x"
"1",0.763695523957961
"2",0.83016801498418
"3",0.765837302508061
"4",0.800820648713548
"5",0.799730268083293
"6",0.807458080046985
"7",0.806613549608157
"8",0.800339965969073
"9",0.79925199673071
"10",0.759725820691561
