"","x"
"1",0.788652517065669
"2",0.784105650993641
"3",0.777527991356701
"4",0.811583141363391
"5",0.784733609057457
"6",0.77779865509282
"7",0.778306890332981
"8",0.779288397540161
"9",0.789485181701403
"10",0.77845574605833
